,IDENTIFICATION & PRICE,,,,PROPERTY MARKET FUNDAMENTALS,,,,,,,,,MACRO & DEMOGRAPHICS,,,,,,,FOREIGN BUYER ENVIRONMENT,,,,,,TRANSACTION & HOLDING COSTS,,,,,,,RISK & PRACTICAL,,,
Morocco,"MAD 800,000",MAD,128000,Managed float (basket peg EUR/USD),Est. +40%,Est. 3.4%,Est. +15%,N/A,Base ~+35% (range +10% to +50%),13.4,5.2,4.7,Est. 3.5%,37.5,1,65,10400,3.5%,2.5,BB+,55,60.7,"Foreigners can buy urban property (apartments, villas). Agricultural land prohibited. Registration process can be slow.",No property-based visa. Standard permit routes.,Some controls. Must prove foreign-origin funds for repatriation.,37,6-8%,Est. 0.5-1.0%,"20% (or 3% of sale price, whichever is higher)",Progressive 10-38%,No,10%,No formal estate tax (but registration duties on transfer),8-10%,6-12 months,Agricultural land ban. Repatriation requires proof of foreign-origin funds. Bureaucratic registration. No DTA with Australia means double taxation risk. Language (French/Arabic) barrier.,2
Brazil,"BRL 400,000",BRL,108000,Free float,Est. +60%,Est. 4.8%,Est. +5%,"-0.4% (Q3 2025, BIS)",Base ~+40% (range +10% to +65%),15.2,4.6,4.5,Est. 3.0%,216,0.5,88,20800,2.0%,5,BB,52,54.8,Foreigners can buy urban property freely. Rural land and border zones have restrictions. CPF (tax ID) required.,Investor visa available (BRL 500K+ in real estate for permanent residency).,Free but must register foreign investment with Central Bank.,34,4-6%,Est. 1.0-2.0%,15-22.5% progressive,15% (via Carne-Leao) or 25% WHT,No (under negotiation),15%,Yes (state-level ITCMD 2-8%),14-18%,6-12 months,BRL volatility is significant. High property taxes. Bureaucratic registration. Need CPF tax number. No DTA with Australia yet. Distance and timezone difference. Security concerns vary by location.,2
Dominican Republic,"USD 120,000",DOP/USD,140000,Managed float,Est. +70%,Est. 5.5%,Est. +25%,N/A,Base ~+45% (range +15% to +65%),15.6,6.7,6,Est. 5.0%,11.2,0.9,84,23700,5.0%,3.5,BB,50,63,Equal rights for foreigners. No restrictions on purchase. Very foreign-buyer friendly.,Investor residency available (USD 200K+ investment).,Generally free.,36,5-7%,Est. 0.5-1.0%,27% on net gain,27%,No,27%,Yes (3%),8-10%,6-12 months,High tax burden for non-residents (27%). Natural disaster risk (hurricanes). No DTA with Australia. Distance. Title verification important (use reputable lawyer). Tourism-dependent economy.,3
Mexico,"MXN 2,500,000",MXN,145000,Free float,Est. +80%,Est. 6.1%,Est. +25%,"+5% (Q3 2025, BIS est.)",Base ~+50% (range +15% to +70%),13.3,6.4,7.3,Est. 5.0%,131,0.7,81,24000,1.5%,4,BBB,55,64.2,"Foreigners cannot directly own within 50km of coast or 100km of border (restricted zone). Must use fideicomiso (bank trust). Elsewhere, freehold ok.",Temporary residency via economic solvency (property ownership helps but no specific golden visa).,Generally free. No capital controls.,26,5-8%,Est. 0.3-0.5%,25% of gross or 35% of net gain,21% WHT on gross,Yes,21%,No (but inheritance/acquisition tax varies by state),10-14%,3-6 months,Restricted zone requires fideicomiso (bank trust) adding ~USD 500-1000/yr. High CGT rates. Security concerns vary by region. Low CPI (corruption). DTA with Australia provides some relief.,3
Oman,"OMR 50,000",OMR,178827,USD peg (OMR effectively USD-pegged),N/A (no official HPI series),N/A,N/A,N/A,Base ~+34% (range ~0% to +48%),3.8,5.8,5.9,Est. 5.0%,5.1,4.5,88,46000,2.5%,1,BBB-,75,66.8,Foreigners can buy only in designated Integrated Tourism Complexes (ITCs). No general freehold available.,Property in ITC can qualify for residency visa (min ~OMR 50K).,Generally free. USD peg provides stability.,55,3-5%,Est. 0.5-1.0%,0% (no personal income/CGT currently; PIT from 2028),0% (no personal income tax currently),No,0%,No,4-6% (USD peg),6-12 months,"Restricted to ITC zones only. Small, illiquid market. Oil-dependent economy. Personal income tax coming in 2028 (5% flat). No DTA with Australia but zero tax currently negates need.",3
Philippines,"PHP 5,000,000",PHP,140000,Free float,Est. +50%,Est. 4.1%,Est. +10%,N/A,Base ~+40% (range +15% to +60%),32.1,2.6,2.9,Est. 1.5%,117,1.4,48,12600,6.0%,3.5,BBB+,55,62.8,Foreigners cannot own land. Can own condo units (40% foreign cap per building). Leasehold land up to 50 yrs.,Special Resident Retiree Visa (SRRV) with USD 20-50K deposit.,Generally free with BSP registration.,33,5-8%,Est. 0.5-1.0%,6% of gross selling price or FMV,25% flat,Yes,25%,Yes (6% flat),6-8%,6-12 months,No land ownership. Very low yields (2.6-2.9%). High price-to-income ratio (32). 40% foreign cap on condos can be a binding constraint. 25% rental WHT. DTA with Australia helps. Natural disaster risk. Developer quality varies.,2
Greece,"EUR 120,000",EUR,197000,"EUR (free float, eurozone)",Est. +60%,Est. 4.8%,Est. +30%,Est. +8% (2025),Base ~+40% (range +10% to +55%),12.5,3.7,3.8,Est. 2.5%,10.3,-0.5,80,38000,2.0%,2.5,BBB,60,59,Foreigners can buy freehold. Some restrictions in border/military areas. No minimum price for general purchase.,Golden Visa: EUR 250-800K (tiered by region). 5yr renewable residency.,Free (eurozone).,49,8-12%,Est. 0.5-1.5%,Exempt (suspended until Dec 2026 at least),15-45% progressive,No,0% (self-assessed),Yes (progressive 1-40%),6-8% (EUR/AUD),6-12 months,High purchase costs (8-12%). Progressive rental income tax up to 45%. High estate tax. No DTA with Australia (double taxation risk). Bureaucratic registration. Golden Visa thresholds rising. Declining population.,3
Poland,"PLN 500,000",PLN,200000,Free float,Est. +90%,Est. 6.6%,Est. +40%,Est. +5% (2025),Base ~+45% (range +15% to +65%),10.2,4,4.6,Est. 3.5%,37.5,-0.1,60,46500,3.5%,3.5,A-,72,70.4,EU/EEA nationals free to buy. Non-EU (inc. Australians) need permit from Interior Ministry for land. Apartments in buildings exempt from permit requirement.,No property-based golden visa. Standard EU residence permit routes.,Free (EU member).,53,5-8%,Est. 0.3-0.5%,19% flat,8.5% (up to PLN 100K) / 12.5% (above PLN 100K) lump-sum,Yes,0% (self-assessed lump-sum),Yes (inheritance tax 3-20%),8-10%,3-6 months,Non-EU buyers need permit for land (apartments exempt). Low yields. EU membership provides legal framework strength. DTA with Australia. Very favourable lump-sum rental tax (8.5-12.5%). PLN has moderate FX volatility.,3
Montenegro,"EUR 130,000",EUR,213000,"EUR (uses euro, not eurozone member)",Est. +80%,Est. 6.1%,Est. +45%,N/A,Base ~+50% (range +15% to +70%),13,4.9,4.9,Est. 3.5%,0.62,-0.1,68,27000,3.5%,3,B+,55,64.5,Foreigners can buy property (buildings and apartments). Land purchase possible through a company. EU candidate.,CBI programme closed. Residency through property ownership possible (temporary permit).,Free (uses EUR).,46,3-5%,Est. 0.3-0.5%,15%,15%,No,15%,No (but inheritance tax 3%),6-8% (EUR-denominated),6-12 months,Very small country (620K pop). Seasonal tourism-dependent market. Low credit rating (B+). EU accession years away. Small pool of tenants. No DTA with Australia. Uses EUR which eliminates local FX risk.,3
Italy (South),"EUR 100,000",EUR,164000,"EUR (free float, eurozone)",Est. +20% (southern regions),Est. 1.8%,Est. +2% (Q3 2025 BIS: Italy +2% overall),"+2% (Q3 2025, BIS - national)",Base ~+25% (range +5% to +40%),8.3,4.6,5.6,Est. 3.5%,58.8,-0.3,72,52500,1.0%,2,BBB+,72,64,No restrictions on foreign buyers. Full freehold. EU member state.,Elective residency visa (passive income). Italy investor visa (EUR 250K+ in Italian company). No property-specific golden visa.,Free (eurozone).,54,8-12%,Est. 0.5-1.5%,26% flat (or progressive 23-43%; exempt after 5 yrs),21% cedolare secca (flat) or 23-43% progressive,Yes,0% (self-assessed),Yes (4-8%),6-8% (EUR/AUD),6-12 months,Southern Italy has lower rental demand and slower appreciation. High purchase costs. Complex bureaucracy. Cedolare secca (21%) is favourable for rental. DTA with Australia. Population decline. EUR-denominated eliminates local FX risk.,3
Thailand,"THB 3,500,000",THB,165000,Managed float,Est. +30%,Est. 2.7%,Est. +10%,"+3% (Q3 2025, BIS)",Base ~+30% (range +10% to +45%),24,3.4,3.4,Est. 2.5%,72,0.1,53,22100,3.0%,1.5,BBB+,75,68.8,Foreigners cannot own land. Can own condo freehold (49% foreign quota per building). Leasehold land (30+30 yrs). Company structures possible but risky.,Thai Elite Visa (THB 650K-2M). No direct property-based residency.,Generally free with documentation of inward remittance.,34,6-8%,Est. 0.3-0.5%,Specific business tax (3.3%) or stamp duty (0.5%); income tax 5-35% on gain portion,5-35% progressive,Yes,5% (under DTA with Australia),Yes (5-10% above THB 100M threshold),6-8%,3-6 months,No land ownership. High price-to-income (24). Low yields. 49% foreign condo quota can bind. Political instability history. DTA with Australia reduces WHT to 5%. Timezone close to Australia. Well-established expat property market.,3
Costa Rica,"USD 150,000",CRC/USD,234000,Managed float,Est. +50%,Est. 4.1%,Est. +20%,N/A,Base ~+40% (range +10% to +60%),10.1,8.1,8.2,Est. 6.0%,5.2,0.5,82,25000,3.5%,2,BB,65,65,Foreigners have equal property rights. Full freehold. No restrictions. Very friendly.,Investor visa (USD 150K+ in local business/property). Rentista visa also available.,Generally free. No capital controls.,58,4-6%,Est. 0.3-0.5%,Generally exempt (15% if habitual seller; 2.5% WHT on non-resident sales),15% flat,No,15%,No,6-8%,6-12 months,Distance from Australia. Small market. No DTA with Australia. Many transactions in USD which helps. High yields attractive. Stable democracy with good rule of law for the region. Hurricane risk lower than Caribbean.,4
Croatia,"EUR 150,000",EUR,246000,EUR (eurozone member since 2023),Est. +80%,Est. 6.1%,Est. +45%,Est. +8% (2025),Base ~+40% (range +10% to +55%),12.8,3.4,3.5,Est. 2.5%,3.8,-0.4,58,40000,3.0%,3,A,62,66,EU/EEA nationals free to buy. Non-EU nationals (inc. Australians) need reciprocity or Ministry approval. Australia-Croatia DTA signed Nov 2025.,No property-based golden visa. Standard EU residence permit routes.,Free (eurozone).,47,5-7%,Est. 0.3-0.5%,20% (exempt after 2 yrs),~7-20% (depends on structure),"Yes (signed Nov 2025, pending entry into force)",20%,No (but inheritance tax 5%),6-8% (EUR/AUD),3-6 months (coastal summer season),Non-EU buyer approval needed. Low yields. Tourism-driven coastal market (seasonal). New DTA with Australia (signed 2025) will help once in force. Eurozone provides FX stability. Population declining. 2yr CGT exemption is attractive.,3
Bahrain,"BHD 65,000",BHD,252799,USD peg (0.376 BHD per USD),N/A (no official HPI series),N/A,N/A,N/A,Base ~+22% (range -10% to +34%),5.2,7.7,6.8,Est. 6.0%,1.5,0.73,90,60100,3.0%,1.5,B,65,69.2,"Foreigners can buy freehold in designated investment areas only (e.g. Amwaj Islands, Reef Island, Bahrain Financial Harbour).",Property purchase in designated area can provide residency visa.,Free. No income tax. USD peg provides stability.,53,2-4%,Est. 0.3-0.5%,0% (no personal income/CGT),0% (no personal income tax),No,0%,No,4-6% (USD peg),6-12 months,Restricted to designated areas. Small market. Oil-dependent economy. Zero tax is very attractive. USD peg eliminates FX risk vs USD. Limited rental pool. Regional geopolitical tensions.,4
Panama,"USD 180,000",USD/PAB,281000,USD (uses US dollar),Est. +40%,Est. 3.4%,Est. +15%,N/A,Base ~+30% (range +5% to +45%),14.3,7.1,9.6,Est. 6.0%,4.5,1.4,69,37000,5.0%,2,BBB-,65,66,Foreigners have equal property rights. Full freehold for most property types. Some restrictions on island/waterfront/border property.,Qualified Investor Visa (USD 300K property = permanent residency). Friendly Nations Visa (USD 200K).,Free. USD-denominated. Territorial tax system.,33,4-6%,Est. 0.5-1.0%,10% flat on gain,Progressive 0-25% (territorial system; only Panama-source income taxed),No,"12.5% effective (50% deduction on gross, then 25% tax)",No,4-6% (USD/AUD),6-12 months,USD-denominated eliminates local FX risk. Territorial tax system attractive. Oversupply in Panama City high-rise segment. No DTA with Australia. Low CPI score (33). Investor visa pathway attractive. Distance from Australia.,4
Mauritius,"MUR 8,000,000",MUR,280000,Managed float,Est. +50%,Est. 4.1%,Est. +15%,N/A,Base ~+35% (range +10% to +50%),20.5,2.6,3.3,Est. 2.0%,1.3,0.1,41,29400,4.0%,4,N/R,70,73.6,"Foreigners can buy in approved schemes only (PDS, IRS, RES, Smart City, IHS). Min USD 375K for permanent residency.",Yes - USD 375K property in approved scheme = permanent residency.,Free. No capital controls.,51,5-7%,Est. 0.5-1.0%,0% (no CGT),15% flat,No,0% (self-assessed at 15%),No,8-10%,6-12 months,Restricted to approved schemes (premium pricing). Low yields. Small market. No CGT and no estate tax are attractive. Residency pathway attractive. MUR has moderate volatility. English-speaking. Similar timezone to parts of Australia.,4
United States,"USD 420,000",USD,343471,Free float (global reserve currency),+86.75%,6.45%,Est. +45%,-1.61% (Q3 2025),Base ~+34% (range +16% to +48%),3.5,10.9,11.1,Est. 7.0%,335,0.98,83,85000,2.0%,3,AA+,95,74.8,No federal restrictions on foreign buyers. Some states have agricultural land limits. Full freehold.,EB-5 investor visa (USD 800K+ in targeted employment area). No property-specific visa.,Free. No capital controls.,65,3-6%,Est. 1.0-2.5% (property tax varies hugely by state),FIRPTA: 15% WHT on gross; actual tax 0-20% + 3.8% NIIT on net gain,30% WHT on gross OR elect net basis (10-37% graduated rates),Yes,30% (or elect net basis),Yes (40% above USD 60K threshold for non-residents),8-10%,1-3 months,High estate tax risk (40% above USD 60K for non-resident aliens - use LLC structure). FIRPTA withholding. Complex state-by-state tax. High property taxes in many states. DTA with Australia helps. Most liquid market globally. Consider LLC/corp structure.,4
Spain,"EUR 210,000",EUR,345910,"EUR (free float, eurozone)",+45.89%,3.85%,Est. +20%,+9.76% (Q3 2025),Base ~+32% (range +5% to +41%),8.5,4.8,6.1,Est. 4.0%,48,1.02,81,49000,2.5%,2.5,A+,87,68,No restrictions on foreign buyers. Full freehold. Very straightforward process.,Golden Visa CLOSED (April 2025). Non-lucrative visa or digital nomad visa alternatives.,Free (eurozone).,56,10-13%,Est. 0.5-1.5%,19% flat,24% flat on gross (EU residents: 19% on net),Yes,24% on gross,"Yes (varies by autonomous community, up to 34%)",6-8% (EUR/AUD),3-6 months,Golden Visa closed. High purchase costs (10-13%). 24% WHT on gross rental (brutal for non-EU). Complex regional tax system. Strong tenant protections. DTA with Australia helps. EUR eliminates local FX risk.,3
Portugal,"EUR 225,000",EUR,368970,"EUR (free float, eurozone)",+239.91%,13.02%,Est. +190%,+14.66% (Q2 2025),Base ~+28% (range -5% to +34%),13.9,5.3,5.8,Est. 3.5%,10.3,1.1,67,43600,2.0%,2.5,A+,90,68.7,No restrictions on foreign buyers. Full freehold. Very foreign-buyer friendly.,Golden Visa: property route CLOSED. Fund route from EUR 500K. NHR tax regime ended 2024.,Free (eurozone).,57,7-10%,Est. 0.3-0.8%,28% flat on gain,25% flat,"Yes (signed Nov 2023, pending entry into force)",25%,No (but 10% stamp duty on gifts/inheritance to non-lineal heirs),6-8% (EUR/AUD),3-6 months,Huge 10yr gains (+240%) suggest overvaluation risk. Property Golden Visa closed. NHR tax regime ended. 28% CGT and 25% rental tax are high. New DTA with Australia (signed 2023). Strong price-to-income (13.9). EUR eliminates local FX risk.,3
Belgium,"EUR 240,000",EUR,396973,"EUR (free float, eurozone)",+47.38%,3.95%,Est. +15%,+1.69% (Q3 2025),Base ~+26% (range +10% to +37%),6.1,4.8,5.7,Est. 3.5%,11.7,0.67,98,63800,1.5%,2.5,AA,93,68,No restrictions on foreign buyers. Full freehold.,No property-based golden visa.,Free (eurozone).,69,12-15%,Est. 0.5-1.0%,16.5% (within 5 yrs buildings) / 33% (within 5 yrs land); exempt after,25-50% progressive (on cadastral income basis),Yes,0% (self-assessed on cadastral income),"Yes (regional, up to 80% for non-relatives in some regions)",6-8% (EUR/AUD),3-6 months,Very high purchase costs (12-15%). Extremely high estate/inheritance tax (up to 80%). Complex regional tax system. Cadastral income-based rental taxation can be favourable if actual rent exceeds cadastral value. DTA with Australia. Strong rule of law.,3
United Arab Emirates,"AED 1,100,000",AED,418711,USD peg (3.672-3.673 AED per USD),+46.41%,3.89%,Est. +30%,N/A (not in BIS dataset),Base ~+28% (range -18% to +63%),7.4,5.8,8.2,Est. 6.0%,10,4.68,87,78000,4.0%,2,AA,65,78,"Non-Arab foreigners can buy freehold in designated freehold zones only (major zones in Dubai, Abu Dhabi). 10yr Golden Visa with AED 2M+ property.",Yes - AED 750K property = 2yr visa; AED 2M = 10yr Golden Visa.,Free. No income tax. USD peg.,68,6-8%,Est. 0.5-1.0% (service charges can be high),0% (no personal income/CGT),0% (no personal income tax),No,0%,No (Sharia inheritance rules may apply without DIFC will),4-6% (USD peg),1-3 months,Restricted to freehold zones. High service charges. Market volatility (boom/bust cycles). Zero tax is hugely attractive. Strong Golden Visa pathway. Sharia inheritance risk (register DIFC will). Very liquid market. Close-ish timezone to Australia.,5
Japan,"JPY 40,000,000",JPY,440000,Free float,Est. +30%,Est. 2.7%,Est. +10%,"+0.2% (Q2 2025, BIS)",Base ~+20% (range +5% to +35%),11.4,2.3,2.8,Est. 2.0%,123,-0.5,92,52100,1.0%,2.5,A+,86,72.6,No restrictions on foreign buyers. Full freehold. One of the most open markets globally.,No property-based visa. Business manager visa requires active business.,Free. No capital controls.,71,6-8%,Est. 1.0-2.0%,30.63% (short-term <=5 yrs) / 15.315% (long-term >5 yrs),5-45% progressive (20.42% WHT at source),Yes,20.42%,"Yes (10-55%, very high)",10-14%,3-6 months,Very low yields (2.3-2.8%). Declining population. High estate tax (up to 55%). JPY volatility. Property depreciates (building component). DTA with Australia. Strong rule of law. No ownership restrictions. Close timezone.,4
Ireland,"EUR 330,000",EUR,536984,"EUR (free float, eurozone)",+96.41%,6.98%,Est. +65%,+5.78% (Q2 2025),Base ~+37% (range +10% to +55%),6.9,7.1,7.8,Est. 5.0%,5.3,1.57,64,114000,4.0%,2,AA+,94,83.1,No restrictions on foreign buyers. Full freehold.,No property-based golden visa. Immigrant Investor Programme closed 2023.,Free (eurozone).,77,4-6%,Est. 0.3-0.5%,33%,20% WHT; marginal rate up to 52% inc. USC,Yes,20%,Yes (CAT: 33% above thresholds),6-8% (EUR/AUD),1-3 months,High CGT (33%). High rental tax (effective up to 52%). Strong tenant protections. Housing shortage supports prices but regulation heavy. DTA with Australia. Very strong rule of law. English-speaking. Liquid market.,3
United Kingdom,"GBP 285,000",GBP,598340,Free float,+44.11%,3.72%,Est. +10%,-1.19% (Q3 2025),Base ~+24% (range ~0% to +34%),8,4.9,5,Est. 3.5%,68.3,1.07,84,56500,1.5%,3,AA,95,74,No restrictions on foreign buyers. Full freehold (or long leasehold). 2% SDLT surcharge for non-residents.,Innovator Founder visa. No property-based golden visa.,Free. No capital controls.,71,5-10% (inc. 2% non-resident SDLT surcharge),Est. 0.5-1.0%,18% (basic rate) / 24% (higher rate),20% basic / 40% higher / 45% additional (after personal allowance),Yes,20% (basic rate WHT under NRLS scheme),"Yes (IHT: 40% above GBP 325K, no relief for non-doms from April 2025)",8-10%,1-3 months,2% non-resident SDLT surcharge. 40% IHT (non-dom changes from April 2025 remove previous exemption). Strong tenant protections. Rental income taxed at marginal rates. DTA with Australia. Most liquid international market. English-speaking.,3
Netherlands,"EUR 390,000",EUR,634168,"EUR (free float, eurozone)",+121.34%,8.27%,Est. +80%,+5.83% (Q2 2025),Base ~+26% (range ~0% to +37%),7.5,5.2,5.5,Est. 3.0%,17.8,0.65,93,70200,1.5%,2.5,AAA,96,78,No restrictions on foreign buyers. Full freehold. Heavy regulation of private rentals and strong tenant protections.,No property-based golden visa.,Free (eurozone).,78,6-8%,Est. 0.5-1.0%,Box 3 deemed return taxation (~2% effective on property value),Box 3 deemed return (not actual income; ~36% on deemed ~5.5% return),Yes,0% (Box 3 self-assessed),Yes (inheritance tax 10-40%),6-8% (EUR/AUD),1-3 months,Strong tenant protections (rent caps on regulated segment). Box 3 deemed return tax is complex and changing (reform 2028). Highest-rated sovereign in comparison (AAA). DTA with Australia. Very strong rule of law. High property prices nearing budget ceiling.,3
