Country,Investment Profile
Dominican Republic,"  Market: Tourism-driven. Caribbean. Equal foreign rights. Good yields.
  Opportunity: High yields. Equal foreign rights. Investor residency. Growing tourism.
  Risk: 27% non-resident tax rate. Hurricane risk. No DTA. Distance from Australia.
  Entry: No restrictions. Use lawyer for title search. Title insurance recommended.
  Structure: Individual or Dominican SRL. No DTA. Factor 27% tax into yield calculations.
  Timing: Tourism sector growing. Infrastructure improving. Good medium-term."
Oman,"  Market: Small, niche market restricted to tourism complexes. Zero tax environment (until 2028). USD-pegged.
  Opportunity: Zero tax on rental and capital gains (until 2028 PIT introduction). USD peg eliminates FX risk vs USD. Residency visa available.
  Risk: Restricted to ITC zones. Oil-dependent economy. Small market. Personal income tax coming 2028 at 5%.
  Entry: Purchase in designated ITC developments. Straightforward process. Use reputable developer.
  Structure: Individual ownership in ITC. No DTA needed currently due to zero tax. Reassess once PIT arrives in 2028.
  Timing: Window before 2028 PIT introduction. But PIT rate (5%) will still be very low."
Philippines,"  Market: No land ownership for foreigners. Condos only (40% cap). Very low yields. High price-to-income.
  Opportunity: Strong GDP growth (6%). Young population. DTA with Australia. SRRV retirement visa.
  Risk: No land ownership. Very low yields (2.6-2.9%). 40% foreign cap. 25% rental WHT.
  Entry: Condo purchase within 40% foreign quota. Use licensed broker.
  Structure: Individual condo ownership. Philippine corporation possible for land (60% Filipino ownership required). DTA with Australia.
  Timing: Strong demographic tailwinds but poor yield profile for foreign investors."
Greece,"  Market: Recovering from GFC lows. Golden Visa driving foreign demand. Tourism strong.
  Opportunity: Golden Visa (EUR 250-800K tiered). CGT suspended. Tourism supports short-term rentals. EUR-denominated.
  Risk: High purchase costs (8-12%). Progressive rental tax up to 45%. High estate tax. No DTA with Australia.
  Entry: Golden Visa provides residency. No restrictions on purchase. Use lawyer and notary.
  Structure: Individual for Golden Visa eligibility. Greek company possible for rental efficiency. No DTA is a disadvantage.
  Timing: Golden Visa thresholds rising. Buy sooner if Golden Visa is the goal. CGT suspension may not last."
Poland,"  Market: Strong EU economy. Permit needed for non-EU buyers (land, not apartments). Favourable lump-sum rental tax.
  Opportunity: Very low rental tax (8.5-12.5% lump-sum). DTA with Australia. Strong economic growth.
  Risk: Permit needed for non-EU land buyers. Moderate yields. PLN volatility. Not in eurozone.
  Entry: Apartments exempt from permit requirement. Use notary. Process straightforward for apartments.
  Structure: Individual for apartments. Polish sp. z o.o. for land or multiple properties. DTA with Australia.
  Timing: Strong economic fundamentals. Near-shoring trend boosting demand. Reasonable entry point."
Montenegro,"  Market: Very small (620K population). Tourism-driven Adriatic coast. Uses EUR but not in eurozone.
  Opportunity: EUR-denominated. Low tax rates (15%). EU candidate. Adriatic coastline attractive.
  Risk: Tiny market. Low credit rating (B+). Seasonal tourism dependence. No DTA with Australia.
  Entry: Foreigners can buy buildings. Land via company. Use local lawyer.
  Structure: Montenegrin d.o.o. for land. Individual for apartments. No DTA - factor into tax planning.
  Timing: EU candidate status improving regulatory framework. Still early stage. Patient capital needed."
Italy (South),"  Market: Southern Italy (Puglia, Calabria, Sicily) is significantly cheaper than Milan/Rome. EUR 1 house schemes exist. Slow appreciation.
  Opportunity: Cedolare secca (21% flat rental tax). EUR-denominated. DTA with Australia. CGT exempt after 5 years. Lifestyle appeal.
  Risk: Low rental demand in deep south. Slow/negative appreciation. Bureaucratic. Population declining.
  Entry: No restrictions. Notary-based system. Codice fiscale required. Process can be slow.
  Structure: Individual with cedolare secca election for rental. DTA with Australia. Consider regions with better rental demand (Puglia > Calabria).
  Timing: Southern Italy has underperformed. EUR 1 schemes highlight depopulation issue. Focus on tourist-attractive areas."
Thailand,"  Market: Well-established expat property market. Condos only (no land). Close timezone to Australia.
  Opportunity: Close timezone. Well-known market. DTA reduces WHT to 5%. Tourism supports short-term rental.
  Risk: No land ownership. Low yields. 49% foreign condo quota. Political instability history.
  Entry: Condos via foreign freehold quota. Must remit funds in foreign currency. Use reputable developer.
  Structure: Individual condo purchase. Company land ownership schemes exist but legally risky. DTA with Australia.
  Timing: Market has been flat. Tourism recovery supporting. Government discussing foreign land ownership reform."
Costa Rica,"  Market: Small, tourism-driven. Highest yields in comparison (8%+). USD widely used. Very foreign-buyer friendly.
  Opportunity: Highest Numbeo yields. No CGT generally. Equal foreign rights. Stable democracy. USD pricing.
  Risk: Small market. Distance from Australia. No DTA. Tourism-dependent. Liquidity can be slow.
  Entry: No restrictions. Use reputable lawyer for due diligence. Title insurance recommended.
  Structure: Costa Rican SA (corporation) commonly used by foreigners. Individual also fine. No DTA with Australia.
  Timing: Growing interest from North American retirees. Sustainable tourism focus. Good medium-term."
Croatia,"  Market: Tourism-driven coastal market (Adriatic). Joined eurozone 2023. Strong recent growth.
  Opportunity: EUR-denominated. EU member. CGT exempt after 2 years. New DTA with Australia (signed 2025).
  Risk: Non-EU buyer approval needed. Low yields. Seasonal rental market. Declining population.
  Entry: Requires Ministry approval for non-EU buyers. Use local lawyer. Process takes weeks.
  Structure: Individual or Croatian d.o.o. New DTA with Australia once in force. 2yr CGT exemption attractive for hold strategy.
  Timing: Eurozone entry boosting confidence. Coastal tourism strong. But approval process for non-EU adds friction."
Bahrain,"  Market: Small, niche market in designated zones. Zero tax. USD-pegged. Good yields for the region.
  Opportunity: Zero tax on all income/gains. High yields (6-7%). USD peg. Low purchase costs. Residency visa pathway.
  Risk: Designated zones only. Oil-dependent. Small rental pool. Regional geopolitical tensions. Low S&P rating (B).
  Entry: Purchase in designated investment areas. Well-regulated process. Use local agent and lawyer.
  Structure: Individual ownership. Zero tax makes structuring simple. No DTA needed.
  Timing: Bahrain diversifying economy. Market relatively stable. Good medium-term hold."
Panama,"  Market: USD-denominated. Territorial tax system. Strong residency pathway. Panama City oversupply in high-rise.
  Opportunity: USD eliminates FX risk. Low taxes (territorial system). Investor visa at USD 300K. No estate tax.
  Risk: Oversupply in Panama City condos. Low CPI (33). Distance from Australia. No DTA.
  Entry: Equal rights for foreigners. Use registered lawyer. Property registration straightforward.
  Structure: Panamanian SA (corporation) standard structure. Territorial tax system means foreign-source income exempt.
  Timing: Post-pandemic recovery. Canal zone and banking sector support economy. Watch supply in Panama City."
Mauritius,"  Market: Small, premium market in approved schemes. No CGT, no estate tax. Good residency pathway.
  Opportunity: Zero CGT. Zero estate tax. Permanent residency via USD 375K property. English-speaking. Close-ish timezone.
  Risk: Restricted to approved schemes (premium pricing). Low yields (2-3%). Small market. MUR volatility.
  Entry: Purchase in PDS/IRS/Smart City scheme. Well-regulated. Use scheme developer's process.
  Structure: Individual ownership in approved scheme. Tax-efficient jurisdiction. No DTA with Australia but low local tax.
  Timing: Government promoting investment. New schemes launching. Consider newer developments for better pricing."
United States,"  Market: World's largest and most liquid property market. Huge regional variation. Strong fundamentals.
  Opportunity: Highest gross yields in comparison (10-11% Numbeo). Strong property rights. DTA with Australia. Extremely liquid.
  Risk: FIRPTA withholding. Estate tax risk (40% above USD 60K for non-resident aliens). State-level tax complexity.
  Entry: No restrictions. Process well-understood. Engage US tax advisor for structuring BEFORE purchase.
  Structure: CRITICAL - use LLC or corporation to avoid estate tax trap. US-Australia DTA helps. Consider state-level tax (no income tax in TX, FL, NV etc).
  Timing: Prices declining slightly in real terms. Interest rate cuts may support. Regional markets vary hugely."
Spain,"  Market: Strong recent growth (+10% real YoY). Golden Visa closed April 2025. Well-established foreign buyer market.
  Opportunity: Solid yields outside centre. Strong tourism supports short-term rentals. EUR-denominated.
  Risk: Golden Visa closed. 24% WHT on gross rental (non-EU buyers). Strong tenant protections. High purchase costs (10-13%).
  Entry: No restrictions. Well-regulated notarial system. NIE (tax ID) required first.
  Structure: Individual or Spanish SL company. SL may be more tax-efficient for non-EU investors. DTA with Australia.
  Timing: Strong price momentum but Golden Visa closure may cool foreign demand. Consider whether peak is approaching."
Portugal,"  Market: Extraordinary 10yr growth (+240% nominal). NHR ended. Property Golden Visa closed. Market may be overvalued.
  Opportunity: Strong momentum. Good yields. EU membership. English widely spoken in Lisbon/Algarve.
  Risk: Potential overvaluation after +240% decade. Key tax incentives (NHR, GV) ended. 28% CGT, 25% rental tax.
  Entry: No restrictions. Well-regulated. Fiscal number required. Use local solicitor.
  Structure: Individual or Portuguese company. New DTA with Australia (signed 2023, pending). Consider timing of DTA entry into force.
  Timing: After 240% gains, correction risk is real. Wait for price consolidation or buy in less heated regions."
Belgium,"  Market: Steady, boring market. Very high purchase costs offset by cadastral income-based taxation that can be favourable.
  Opportunity: Stable EUR market. Strong rule of law. Good yields outside centre. DTA with Australia.
  Risk: 12-15% purchase costs. Up to 80% estate tax for non-relatives. Complex regional system (Flanders/Wallonia/Brussels).
  Entry: No restrictions. Engage notary (mandatory). Process is transparent.
  Structure: Consider Belgian company (BVBA) for estate tax planning. Individual ownership has huge estate tax exposure. DTA with Australia.
  Timing: Market is stable. No urgency. Good long-term hold if structure addresses estate tax."
United Arab Emirates,"  Market: Dynamic, volatile market. Zero tax. Golden Visa at AED 2M. World-class infrastructure.
  Opportunity: Zero personal tax. High yields. Golden Visa. Most liquid market in comparison. Very foreign-buyer friendly.
  Risk: Boom-bust cycles. Freehold zones only. Sharia inheritance (register DIFC will). Service charge inflation.
  Entry: Purchase in freehold zone (abundant in Dubai). Well-regulated. Fast process.
  Structure: Individual ownership is fine due to zero tax. Register DIFC will to override Sharia inheritance. Consider LTD for larger portfolios.
  Timing: Dubai market has recovered strongly post-COVID. New supply coming. Monitor supply/demand balance."
Japan,"  Market: Open, transparent, well-regulated. Unique depreciating building component. Population declining.
  Opportunity: No ownership restrictions. Strong rule of law. DTA with Australia. Close timezone. Stable democracy.
  Risk: Very low yields (2-3%). Buildings depreciate. Population declining. High estate tax (up to 55%). JPY volatility.
  Entry: No restrictions. Use licensed real estate agent (judicially scrivener for registration).
  Structure: Individual or Japanese KK/GK. Consider estate tax exposure carefully. DTA with Australia.
  Timing: BOJ policy normalisation may impact. Weak JPY makes entry cheaper for AUD. Long-term demographic headwinds."
Ireland,"  Market: Severe housing shortage supports prices. Very strong fundamentals. English-speaking. EU member.
  Opportunity: Strong yields. Housing shortage supports rents and prices. EU/eurozone. Strong GDP growth.
  Risk: 33% CGT. Effective rental tax up to 52%. Strong tenant protections. Regulatory heavy.
  Entry: No restrictions. Solicitor-based conveyancing system. PPS number required.
  Structure: Individual or Irish company. High personal tax rates make corporate structure worth considering. DTA with Australia.
  Timing: Housing shortage likely to persist. Prices supported. But tax burden is heavy."
United Kingdom,"  Market: Deep, liquid, transparent. 2% non-resident SDLT surcharge. Major non-dom IHT changes from April 2025.
  Opportunity: Most transparent market globally. Strong rule of law. English-speaking. DTA with Australia. Liquid.
  Risk: 40% IHT (non-dom exemption removed). 2% SDLT surcharge. Rental income at marginal rates. Strong tenant protections.
  Entry: No restrictions. Well-understood process. Use solicitor and tax advisor.
  Structure: CRITICAL - use corporate wrapper or trust to manage IHT exposure. Non-dom changes from April 2025 are significant. DTA with Australia.
  Timing: Prices declining slightly in real terms. Interest rate cuts may support. Market is mature and cyclical."
Netherlands,"  Market: Strong recent growth. Highest sovereign rating (AAA). Heavy rental regulation. Box 3 tax system.
  Opportunity: AAA-rated. Strong rule of law. EU/eurozone. Good yields outside centre.
  Risk: Box 3 deemed return taxation is complex and unfavourable. Heavy rental regulation. Reform coming 2028.
  Entry: No restrictions. Notary-based system. BSN number required.
  Structure: Consider Dutch BV for tax efficiency under Box 3 system. DTA with Australia. Corporate may be more efficient.
  Timing: Strong momentum. Box 3 reform in 2028 may change tax landscape. Monitor reform details."
